Area,Item,Element,Unit,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Japan,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,67.001,67.3121,69.2813,67.9897,71.6687,74.8082,75.5343,75.9538,81.9555,84.1526,84.1526
Japan,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,3858.1962,3707.4472,3446.0532,3113.2975,3351.3877,3386.7011,3244.8826,3095.0252,3200.6907,4483.8616,4483.8616
Jordan,Fertilizers Manufacturing,Emissions (CO2),kt,875.9197,880.8007,1010.8788,814.335,832.6207,1045.5089,1058.3264,1066.7405,1153.6227,1187.0724,1187.0724
Jordan,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,875.9197,880.8007,1010.8788,814.335,832.6207,1045.5089,1058.3264,1066.7405,1153.6227,1187.0724,1187.0724
Kazakhstan,Fertilizers Manufacturing,Emissions (N2O),kt,0.6771,0.7885,1.2008,1.2467,1.435,1.5406,1.4711,1.4774,1.5662,1.5089,1.5089
Kazakhstan,Fertilizers Manufacturing,Emissions (CO2),kt,157.104,441.6519,614.5473,632.517,716.1172,766.0998,729.2756,739.3163,763.2502,684.5358,684.5358
Kazakhstan,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,179.436,208.9597,318.2051,330.3882,380.2623,408.254,389.8314,391.5102,415.0549,399.8508,399.8508
Kazakhstan,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,336.54,650.6115,932.7524,962.9053,1096.3794,1174.3537,1119.107,1130.8265,1178.3051,1084.3866,1084.3866
Kuwait,Fertilizers Manufacturing,Emissions (CO2),kt,565.5103,624.1005,514.8603,489.619,500.6133,658.2392,668.2123,675.3287,732.1695,755.1834,755.1834
Kuwait,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,565.5103,624.1005,514.8603,489.619,500.6133,658.2392,668.2123,675.3287,732.1695,755.1834,755.1834
Lebanon,Fertilizers Manufacturing,Emissions (CO2),kt,63.768,53.8213,56.4389,56.3469,60.3473,63.9258,65.437,66.6467,72.7772,75.5695,75.5695
Lebanon,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,63.768,53.8213,56.4389,56.3469,60.3473,63.9258,65.437,66.6467,72.7772,75.5695,75.5695
Libya,Fertilizers Manufacturing,Emissions (CO2),kt,617.5468,940.8714,551.4457,524.4108,536.1863,700.0435,708.6047,714.2184,772.3687,794.7441,794.7441
Libya,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,617.5468,940.8714,551.4457,524.4108,536.1863,700.0435,708.6047,714.2184,772.3687,794.7441,794.7441
Lithuania,Fertilizers Manufacturing,Emissions (N2O),kt,0.5755,0.7538,0.8207,0.8029,0.7465,0.8786,0.7302,0.8261,0.8375,0.9212,0.9212
Lithuania,Fertilizers Manufacturing,Emissions (CO2),kt,1724.2097,3745.4159,4323.4242,4347.8468,3985.3914,4800.1453,4043.8242,4263.7027,4302.2746,4298.0504,4298.0504
Lithuania,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,152.5165,199.7459,217.481,212.7799,197.8225,232.8377,193.4974,218.9038,221.9481,244.1278,244.1278
Lithuania,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,1876.7262,3945.1618,4540.9052,4560.6267,4183.2139,5032.9831,4237.3216,4482.6065,4524.2227,4542.1782,4542.1782
Malawi,Fertilizers Manufacturing,Emissions (N2O),kt,0.0019,0.002,0.002,0.002,0.0022,0.0023,0.0023,0.0024,0.0026,0.0027,0.0027
Malawi,Fertilizers Manufacturing,Emissions (CO2),kt,0.4399,0.4489,0.4688,0.4663,0.4977,0.5256,0.5365,0.5449,0.5936,0.615,0.615
Malawi,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,0.5093,0.5197,0.5427,0.5398,0.5764,0.6084,0.6212,0.631,0.6871,0.7121,0.7121
Malawi,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,0.9492,0.9686,1.0115,1.0061,1.0741,1.134,1.1576,1.1759,1.2807,1.327,1.327
Malaysia,Fertilizers Manufacturing,Emissions (CO2),kt,1893.6857,1937.0418,2027.017,2019.8887,2159.5637,2584.0011,2664.7221,2650.5597,2582.9521,2686.1437,2686.1437
Malaysia,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,1893.6857,1937.0418,2027.017,2019.8887,2159.5637,2584.0011,2664.7221,2650.5597,2582.9521,2686.1437,2686.1437
Mexico,Fertilizers Manufacturing,Emissions (N2O),kt,0.024,0.0236,0.0239,0.0231,0.0239,0.0246,0.0245,0.0243,0.0259,0.0262,0.0262
Mexico,Fertilizers Manufacturing,Emissions (CO2),kt,546.6298,2537.6777,2383.0854,1778.4204,2051.2212,1812.5733,808.0565,461.9242,775.6603,1379.0591,1379.0591
Mexico,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,6.3494,6.2633,6.3351,6.1143,6.3433,6.5214,6.4893,6.435,6.851,6.9449,6.9449
Mexico,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,552.9792,2543.9409,2389.4205,1784.5348,2057.5645,1819.0946,814.5458,468.3592,782.5113,1386.004,1386.004
Morocco,Fertilizers Manufacturing,Emissions (N2O),kt,0.0011,0,0.001,0.0004,0.0004,0.0015,0.0016,0.0016,0.0017,0.0018,0.0018
Morocco,Fertilizers Manufacturing,Emissions (CO2),kt,2621.8449,2110.4295,2255.109,2346.0017,3265.565,2654.107,2707.8485,2749.4725,2993.8793,3100.5663,3100.5663
